"Year","ISO_Code","Countries","FREEDOM ALL AREAS","QUARTILE","Government consumption without interest payments","Government consumption plus interest payments","Government consumption","Transfers and subsidies","Government investment","Top marginal income tax rate","Top marginal income and payroll tax rate","Top marginal tax rate","State ownership","Size of Government","Judicial independence","Impartial courts","Property rights","Military interference","Legal integrity","Contracts","Real property","Police and crime","Disparity Index","Legal System & Property Rights -- Without Gender Adjustment","Legal System & Property Rights -- With Gender Adjustment","Money growth","Standard deviation of inflation","Inflation","Foreign currency bank accounts","Sound Money","Trade tax revenue","Mean tariff rate","Standard deviation of tariff rates","Tariffs","Non-tariff trade barriers","Costs of importing and exporting","Regulatory trade barriers","Black market exchange rates","Financial openness","Capital controls","Freedom of foreigners to visit","Protection of Foreign Assets","Controls of the movement of capital and people","Freedom to trade internationally","Ownership of banks","Private sector credit","Interest rate controls/negative real interest rates)","Credit market regulation","Labor regulations and minimum wage","Hiring and firing regulations","Flexible wage determination","Hours Regulations","Cost of worker dismissal","Conscription","Foreign Labor","Labor market regulations","Regulatory Burden","Bureacracy costs","Impartial Public Administration","Tax compliance","Business regulation","Market openness","Business Permits","Distorton of the business environment","Freedom to enter markets and compete","Regulation","Bank Region","Bank Current Income Classification, 1990-Present"
2023,"HKG","Hong Kong SAR, China",8.55,1,7.11176470588235,NA,7.11176470588235,8.98365122615804,4.26,10,10,10,7.0975,7.49058318640808,7.35839086977778,8.21996048835917,9.3561414875,5.83,6.0165,7.75733436118009,8.0257071574571,8.21393768,1,7.59724650553427,7.59724650553427,9.35439912052715,9.61298526319016,9.16,10,9.53184609592933,10,10,10,10,9.1579314075,9.66988192107932,9.41390666428966,10,10,7.69230769230769,10,9.23148135333333,9.23094726141026,9.66121348142498,10,8.2546786004882,10,9.41822620016274,8.06910254415164,8.590604,10,8.63895039209333,5.99552333333333,10,6.62220396670368,8.27376917661171,7.31465339666667,5.55555555555556,4.8225,9.80663911843027,6.87483701766312,9.45299389141551,9.7938081307817,8.93262629818316,9.39314277346012,8.48999379197442,"East Asia & Pacific","High Income"
2023,"SGP","Singapore",8.5,1,4.52352941176471,4.48328228515012,4.50340584845741,9.0708446866485,9.00285714285714,10,10,10,5.145,7.54442153559261,6.55017272544444,7.48114204725621,9.4721794125,8.33,8.30925,9.22034049360436,9.6881625813696,9.59405303,1,8.58066253627183,8.58066253627183,9.3739526454653,6.93271875084567,8.072,10,8.59466784907774,10,10,10,10,9.18202122083333,9.20473559327831,9.19337840705582,10,10,6.92307692307692,10,9.26550507541667,9.0471454996234,9.5601309766698,10,10,10,10,5.53333333333333,7.78235828571429,8.35882352941177,2.5,6.86711288888889,0,5.58664398574834,5.2326102890138,7.43948459666667,9.55555555555556,9.555,9.64130155303007,9.04783542631307,8.11194335396735,9.99402767676506,7.5,8.5353236769108,8.20394234805942,"East Asia & Pacific","High Income"
2023,"NZL","New Zealand",8.33,1,3.915553951642,3.64510608536349,3.78033001850275,5.26975476839237,9.06285714285714,6,6,6,7.6775,6.35808838595045,8.66065119144445,8.78302377865133,9.046322505,10,8.3465,8.7055626128725,6.96937527670222,9.3376648425,1,8.73113752589631,8.73113752589631,9.33638515311603,8.89853548731213,7.708,10,8.98573016010704,8.88666666666667,9.62,8.9664,9.15768888888889,8.72251590083333,8.73965118863972,8.73108354473652,10,10,6.92307692307692,6.14,8.45490852958333,7.87949636316506,8.94206719919762,10,8.00912721049629,10,9.3363757368321,5.56666666666667,8.15076685714286,7.1068624117647,10,6.41775772222222,10,6.74158734659158,7.71194871491257,5.19119342166667,8.22222222222222,9.1625,9.21534714725328,7.94781569778554,9.99547271022684,9.39883023455234,9.46631314909158,9.62020536462358,8.65408637853845,"East Asia & Pacific","High Income"
2023,"CHE","Switzerland",8.28,1,6.45294117647059,6.3886940343511,6.42081760541084,6.18801089918256,10,8,6,7,8.8475,7.69126570091868,8.49830573711111,8.72964475227773,9.5200419425,10,8.76825,7.33319418596705,4.09283660034793,9.52452381416667,1,8.30834962904631,8.30834962904631,9.6310357028,9.56081975142956,9.144,10,9.58396386355739,9.92666666666667,8.96,0.286399999999999,6.39102222222222,6.86234196,9.90828441230773,8.38531318615387,10,10,3.07692307692308,9.16,8.87591342125,7.77820912454327,8.13863613322984,8,10,10,9.33333333333333,5.26666666666667,7.22353792857143,7.93823529411765,4.175,7.02765722393707,0,5.36837101,5.28563830332754,6.32456302666667,8.22222222222222,9.785,8.39690621626398,8.18217286628822,8.01875583760342,8.37375430149168,7.5,7.96417004636503,7.69132863732853,"Europe & Central Asia","High Income"
2023,"USA","United States",8.1,1,6.90588235294118,5.98741989125522,6.4466511220982,5.83378746594005,9.53142857142857,5,5,5,9.4175,7.24587343189336,7.73014215655556,7.59401395318578,8.80011320083333,6.67,7.3955,8.42174804192285,6.45167166449075,7.6545949775,1,7.58972299931103,7.58972299931103,8.66874312118397,9.05466365773869,8.352,10,9.01885169473066,9.02,9.34,6.5284,8.29613333333333,7.00796484916667,9.80118389831958,8.40457437374312,10,10,3.84615384615385,0.54,8.58424107208333,5.7425987295593,8.11082660915894,10,5.9129937034917,10,8.63766456783057,8.33333333333333,8.78235828571429,9.63235294117647,8.325,8.47144277777778,10,6.72004938166667,8.60921953138122,5.77377716666667,7.11111111111111,8.4225,6.5191839340666,6.9566430529611,9.96375652508068,9.60384022463754,10,9.85586558323941,8.51484818385307,"North America","High Income"
2023,"IRL","Ireland",8.05,1,2.57058823529412,2.23907457434085,2.40483140481749,7.80926430517711,10,6,2,4,7.8825,6.41931914199892,7.85729628166667,7.32352002950907,8.945611715,10,9.3445,5.35811262729546,6.93400730432376,7.653380235,1,7.92705352409937,7.92705352409937,9.21871025437484,8.77241486128376,7.48,10,8.86778127891465,9.67427029678685,9,7,8.55809009892895,7.83310733825825,9.08580270295899,8.45945502060862,10,10,7.69230769230769,9.16,9.00260408708333,8.96372794484776,8.99531826609633,8,10,9,9,5.9,6.06673057142857,7.5,7.3,5.64582047326389,10,8.13902775416667,7.22165411412273,4.89527265166667,8,8.9925,9.00953309552831,7.72432643679874,7.86902372108072,8.23708790347078,8.75,8.28537054151717,8.05783777310966,"Europe & Central Asia","High Income"
2023,"AUS","Australia",8.03,1,3.01470588235294,2.80279928986127,2.9087525861071,6.3133514986376,9.47428571428571,5,4,4.5,7.865,6.21227795980608,8.43265538155555,8.07368418217056,9.22286152833333,10,9.01475,8.67511039604454,8.10049393989243,7.95794487,1,8.68468753724955,8.68468753724955,8.65531826439412,9.05710144586904,7.76,10,8.86810492756579,8.92666666666667,9.52,9.0496,9.16542222222222,7.77642240554972,8.43343855952733,8.10493048253853,10,10,4.61538461538462,0.11,6.63317200699834,5.33963915559574,8.15249796508912,10,9.43703085904921,10,9.81234361968307,6.3,7.41371007142857,8.12653605882353,8,6.37498009143147,10,3.32918462047835,7.0777729774517,3.98175756166667,7.11111111111111,9.7,8.16151036043996,7.23859475830444,9.35715345255076,8.95308714135073,7.96681036971639,8.75901698787263,8.22193208582796,"East Asia & Pacific","High Income"
2023,"TWN","Taiwan",8.03,1,5.30427204183291,NA,5.30427204183291,9.08833379346769,9.84367157323414,7,7,7,7.5425,7.75575548170695,6.51610415788889,6.27079622087111,8.8148085275,6.67,8.1425,7.66970908120215,8.45593369834414,7.66278704,1,7.52532984072579,7.52532984072579,9.14590594498522,9.52905919448795,9.284,10,9.48974128486829,9.67333333333333,8.7,3.812,7.39511111111111,7.51213223138306,8.76237025283823,8.13725124211064,10,7.5,NA,5.82,8.01065941666667,7.11021980555556,8.16064553969433,5,8.33422825755967,10,7.77807608585322,4.46666666666667,6.81428571428571,6.71764705882353,3.05,4.18888888888889,5,4.92099920916667,5.02264107683307,4.902082285,8.88888888888889,9.6275,7.51136942530697,7.73246014979896,8.03996904904855,9.581543371437,7.5,8.37383747349518,7.22675369649511,"East Asia & Pacific","High Income"
2023,"DNK","Denmark",8.02,1,2.03235294117647,1.90582753960076,1.96909024038861,5.34604904632153,10,3,2,2.5,7.22,5.40702785734203,8.56460144544445,8.79602136787643,9.16740496916667,10,9.793,7.98838674009164,7.71,9.04468615833333,1,8.88301258511406,8.88301258511406,9.37354328662543,8.14456345673926,8.676,10,9.04852668584117,9.67427029678685,9,7,8.55809009892895,7.10243741666667,9.98165688246155,8.54204714956411,10,10,6.92307692307692,9.16,8.72553984333333,8.70215419160256,8.9505728600239,10,10,10,10,2,5.57526385714286,8.41535958823529,2.575,6.36708589776077,3,6.0007353625,4.84763495794842,4.78793064833333,6.88888888888889,9.6175,8.01018445312452,7.32612599758669,8.71310014050854,9.87483587686454,8.75,9.11264533912436,7.82160157366487,"Europe & Central Asia","High Income"
2023,"NLD","Netherlands",7.97,1,0.949999999999999,0.770625113812464,0.860312556906232,3.76839237057221,9.87917555081734,4,4,4,7.7525,5.25207609565916,8.10459208711111,8.63777342807953,9.23892100666667,10,9.3015,7.90338236509745,9.90098154504697,8.37614725471639,1,8.93291221083977,8.93291221083977,9.32289427161074,9.14028424960003,8.464,10,9.23179463030269,9.67427029678685,9,7,8.55809009892895,8.03976935659158,9.98165688246155,9.01071311952656,10,10,8.46153846153846,9.16,8.71412972583333,9.08391704684295,9.16318006632462,5,9.87588057698759,10,8.2919601923292,4.06666666666667,4.14285714285714,4.08006547058824,3.4,4.70677658680555,10,6.90822561583333,5.32922735467871,5.66342433333333,7.33333333333333,8.1725,6.83304507516529,7.00057568545799,8.08648106885891,8.28693521166586,8.75,8.37447209350826,7.24905883149354,"Europe & Central Asia","High Income"
